id,connections,label,group,relationship_type,focus_area,notable_fact
bryan_johnson,peter_diamandis|ray_kurzweil|david_sinclair|andrew_huberman|jeff_bezos|elon_musk|sergey_brin|tony_robbins|peter_thiel|sam_altman|oliver_zolman|dustin_moskovitz,Bryan Johnson,center,center,"Aging reversal, Blueprint Protocol","Spends $2M/year on longevity protocol; sold Braintree to PayPal for $800M"
peter_diamandis,bryan_johnson|ray_kurzweil|tony_robbins|jeff_bezos|elon_musk|sergey_brin,Peter Diamandis,longevity,friend,"XPRIZE, longevity","Founded XPRIZE and Singularity University; co-authored Life Force with Tony Robbins"
ray_kurzweil,bryan_johnson|peter_diamandis|elon_musk|sam_altman|sergey_brin,Ray Kurzweil,futurism,inspiration,"Singularity, AI","Director of Engineering at Google; predicted AI singularity by 2045"
david_sinclair,bryan_johnson|andrew_huberman|peter_diamandis|rhonda_patrick,David Sinclair,science,collaborator,"Aging biology, NAD+","Harvard genetics professor; TIME 100 most influential; author of Lifespan"
andrew_huberman,bryan_johnson|david_sinclair|rhonda_patrick|peter_attia|matthew_walker,Andrew Huberman,science,collaborator,"Neuroscience, protocols","Stanford neuroscientist; Huberman Lab podcast reaches 4M+ per episode"
jeff_bezos,bryan_johnson|peter_diamandis|elon_musk|peter_thiel|sam_altman,Jeff Bezos,tech,investor,"Anti-aging, space","Invested $3B in Altos Labs for cellular rejuvenation"
elon_musk,bryan_johnson|jeff_bezos|peter_thiel|sam_altman|peter_diamandis|ray_kurzweil|sergey_brin,Elon Musk,tech,inspiration,"Neuralink, brain-computer interfaces","Neuralink implant trials 2024; merging human cognition with AI"
sergey_brin,bryan_johnson|ray_kurzweil|peter_diamandis|jeff_bezos|elon_musk|peter_thiel,Sergey Brin,tech,investor,"Longevity, Parkinson's research","Co-founded Google; invests heavily in aging research due to LRRK2 gene mutation"
tony_robbins,bryan_johnson|peter_diamandis|peter_attia,Tony Robbins,wellness,collaborator,"Health optimization, performance","Co-authored Life Force; personal health protocol costs $1M+/year"
peter_thiel,bryan_johnson|jeff_bezos|elon_musk|sam_altman|sergey_brin|dustin_moskovitz,Peter Thiel,tech,investor,"Longevity, parabiosis","Founders Fund invested in Unity Biotechnology; rumored interest in young blood transfusions"
sam_altman,bryan_johnson|elon_musk|jeff_bezos|peter_thiel|ray_kurzweil,Sam Altman,tech,collaborator,"AI, longevity intersection","OpenAI CEO; invested in Retro Biosciences for cellular reprogramming"
oliver_zolman,bryan_johnson|david_sinclair|peter_attia,Oliver Zolman,science,collaborator,"Rejuvenation medicine, organ age","Bryan's chief medical officer; designs the Blueprint protocol; targets 18-year-old organ ages"
dustin_moskovitz,bryan_johnson|peter_thiel|sam_altman|jeff_bezos,Dustin Moskovitz,tech,investor,"Longevity biotech, effective altruism","Facebook co-founder; Open Philanthropy funds aging research"
peter_attia,andrew_huberman|tony_robbins|david_sinclair|oliver_zolman|rhonda_patrick,Peter Attia,science,collaborator,"Longevity medicine, metabolic health","Author of Outlive; bridges clinical medicine and longevity science"
rhonda_patrick,david_sinclair|andrew_huberman|peter_attia,Rhonda Patrick,science,collaborator,"Nutrigenomics, sauna protocols","FoundMyFitness podcast; popularized sulforaphane and cold exposure research"
matthew_walker,andrew_huberman|rhonda_patrick,Matthew Walker,science,collaborator,"Sleep science, cognitive performance","UC Berkeley sleep researcher; author of Why We Sleep; sleep = longevity lever"
