city,country,company_name,sector,funding_round,amount_usd,employees,year,latitude,longitude
Shenzhen,China,ZenoFinance,Climate,Pre-Seed,800000,5,2023,22.5436,114.0724
Tel Aviv,Israel,PulseSecurity,Space,Series C,57800000,465,2020,32.2052,34.7288
Cape Town,South Africa,VertexAnalytics,SaaS,Series C,68200000,216,2020,-33.8963,18.3972
San Francisco,United States,VectorCloud,AI,Series C,185500000,405,2022,37.6974,-122.4509
Dubai,UAE,LumenHealth,AI,Series D,201300000,1508,2021,25.2526,55.2212
Sydney,Australia,CipherGenomics,SaaS,Series A,26900000,113,2022,-33.8760,151.3534
Seattle,United States,VoxSystems,Climate,Seed,1500000,20,2022,47.6142,-122.3071
Seoul,South Korea,StratosAnalytics,Space,Pre-Seed,1000000,4,2025,37.5050,127.0575
Bangalore,India,StratosData,SaaS,Pre-Seed,1800000,15,2024,12.8493,77.7044
Berlin,Germany,CortexAnalytics,Climate,Series B,75600000,106,2025,52.5082,13.4086
Cape Town,South Africa,HelixEnergy,Fintech,Series A,12400000,77,2024,-33.7930,18.3141
Singapore,Singapore,FluxSystems,SaaS,Series A,15500000,63,2023,1.2646,103.8662
London,United Kingdom,NexusData,Biotech,Series A,12100000,58,2023,51.5096,-0.2614
Ho Chi Minh City,Vietnam,CipherSecurity,Biotech,Series D,237000000,2420,2020,10.9724,106.5319
Toronto,Canada,ForgeBio,AI,Series A,25500000,99,2025,43.5238,-79.4372
Sydney,Australia,AxionTech,SaaS,Series B,17500000,102,2022,-33.8064,151.2377
Tokyo,Japan,PrismSystems,Climate,Series B,39500000,343,2024,35.6406,139.7204
Beijing,China,SynthCloud,SaaS,Seed,4700000,17,2025,39.8497,116.5242
New York,United States,CipherTech,Fintech,Series C,175500000,763,2021,40.7087,-74.0998
Seoul,South Korea,SynthFinance,SaaS,Pre-Seed,1200000,6,2020,37.6175,126.8507
Beijing,China,PulseHealth,Robotics,Series D,98600000,2956,2021,39.9659,116.4483
Lagos,Nigeria,AstroNetworks,SaaS,Series D,123900000,2408,2021,6.6649,3.4351
Stockholm,Sweden,SynthSecurity,Fintech,Pre-Seed,600000,4,2024,59.3930,18.0376
Tokyo,Japan,CipherHealth,Biotech,Seed,5800000,40,2020,35.6730,139.5536
London,United Kingdom,QuantumHealth,Fintech,Pre-Seed,700000,11,2020,51.5764,-0.0365
Paris,France,AstroCloud,Fintech,Series A,12700000,87,2021,48.7887,2.3260
Cape Town,South Africa,AetherGenomics,AI,Seed,1100000,9,2021,-33.8647,18.5136
Sao Paulo,Brazil,LumenAI,Climate,Series C,145800000,865,2024,-23.4634,-46.6767
New York,United States,MacroWorks,Space,Series A,25000000,65,2024,40.8002,-73.9117
Singapore,Singapore,ForgeTech,Fintech,Series A,18900000,111,2021,1.2520,103.7012
Seoul,South Korea,LumenNetworks,AI,Pre-Seed,1100000,6,2023,37.5761,126.9797
Boston,United States,TeraLabs,Biotech,Series A,16500000,80,2025,42.4053,-71.1510
Dubai,UAE,CortexLogic,Biotech,Seed,6100000,34,2022,25.1759,55.3464
Singapore,Singapore,SiloNetworks,Climate,Series D,376200000,1461,2021,1.4976,103.9081
Berlin,Germany,QuantumLogic,Climate,Series C,86200000,306,2021,52.5286,13.5010
