id,connections,label,group,relationship_type,episode_count,notable_topic
joe_rogan,elon_musk|lex_fridman|andrew_huberman|matthew_walker|rhonda_patrick|jordan_peterson|tim_dillon|shane_gillis|mark_zuckerberg|naval_ravikant|bernie_sanders|robert_downey_jr|mike_tyson|quentin_tarantino|edward_snowden|duncan_trussell|joey_diaz|david_goggins|graham_hancock|alex_jones,Joe Rogan,center,host,2200+,Most-listened podcast globally; $250M Spotify deal
elon_musk,joe_rogan|lex_fridman|mark_zuckerberg|naval_ravikant|jordan_peterson|sam_altman,Elon Musk,inner_ring,frequent_guest,4,"Smoked weed on air (ep #1169); crashed Tesla stock; each appearance trends #1 globally"
lex_fridman,joe_rogan|elon_musk|mark_zuckerberg|jordan_peterson|andrew_huberman|naval_ravikant|david_goggins,Lex Fridman,inner_ring,frequent_guest,6,"MIT AI researcher turned podcaster; interviewed Zelensky, Putin, Zuckerberg"
andrew_huberman,joe_rogan|lex_fridman|rhonda_patrick|matthew_walker|david_goggins,Andrew Huberman,inner_ring,frequent_guest,5,"Stanford neuroscience protocols; cold plunge and morning sunlight went mainstream from JRE"
matthew_walker,joe_rogan|andrew_huberman|rhonda_patrick,Matthew Walker,inner_ring,frequent_guest,3,"Sleep scientist; his JRE episodes changed millions of sleep habits"
rhonda_patrick,joe_rogan|andrew_huberman|matthew_walker,Rhonda Patrick,inner_ring,frequent_guest,7,"Nutrigenomics expert; one of Rogan's earliest science guests; sauna protocol pioneer"
jordan_peterson,joe_rogan|lex_fridman|elon_musk|ben_shapiro|tim_dillon,Jordan Peterson,inner_ring,frequent_guest,8,"Clinical psychologist; most controversial recurring guest; every appearance trends"
tim_dillon,joe_rogan|shane_gillis|joey_diaz|jordan_peterson|alex_jones,Tim Dillon,inner_ring,frequent_guest,12,"Comedian; Rogan's comedy protege; real estate agent turned satirist"
shane_gillis,joe_rogan|tim_dillon|joey_diaz|mark_normand,Shane Gillis,inner_ring,frequent_guest,5,"SNL fired then rehired; Netflix special Tires; Rogan championed his comeback"
mark_zuckerberg,joe_rogan|elon_musk|lex_fridman,Mark Zuckerberg,inner_ring,notable_guest,2,"Trained MMA with Rogan watching; challenged Elon to cage match; humanized Meta's CEO"
naval_ravikant,joe_rogan|elon_musk|lex_fridman|tim_ferriss,Naval Ravikant,inner_ring,frequent_guest,3,"Angel investor philosopher; 'How to Get Rich' episode has 50M+ views"
bernie_sanders,joe_rogan|edward_snowden,Bernie Sanders,outer_ring,notable_guest,1,"2020 presidential run; Rogan's quasi-endorsement caused political firestorm"
robert_downey_jr,joe_rogan|quentin_tarantino,Robert Downey Jr,outer_ring,notable_guest,1,"Post-Oppenheimer Oscar win interview; addiction recovery story"
mike_tyson,joe_rogan|joey_diaz|duncan_trussell,Mike Tyson,outer_ring,notable_guest,2,"Psychedelic transformation; toad venom ceremonies; boxing philosophy"
quentin_tarantino,joe_rogan|robert_downey_jr,Quentin Tarantino,outer_ring,notable_guest,2,"Film theory deep dives; defended controversial scenes; 3-hour uncut conversations"
edward_snowden,joe_rogan|bernie_sanders,Edward Snowden,outer_ring,notable_guest,1,"NSA whistleblower; remote from Moscow; surveillance state deep dive"
duncan_trussell,joe_rogan|joey_diaz|mike_tyson,Duncan Trussell,inner_ring,frequent_guest,15,"Rogan's oldest podcast friend; psychedelics and philosophy; inspired Midnight Gospel"
joey_diaz,joe_rogan|tim_dillon|shane_gillis|duncan_trussell|mike_tyson,Joey Diaz,inner_ring,frequent_guest,20+,"Cuban-American comedian; most JRE appearances; legendary storyteller"
david_goggins,joe_rogan|andrew_huberman|lex_fridman,David Goggins,inner_ring,frequent_guest,3,"Navy SEAL ultramarathoner; 'Stay Hard' became global catchphrase from JRE"
graham_hancock,joe_rogan|alex_jones,Graham Hancock,outer_ring,notable_guest,4,"Ancient civilizations author; Netflix show sparked; debated archaeologists on JRE"
alex_jones,joe_rogan|tim_dillon|graham_hancock,Alex Jones,outer_ring,controversial_guest,3,"InfoWars host; most-watched JRE episode ever (ep #911); Rogan's complicated friendship"
sam_altman,elon_musk|lex_fridman|naval_ravikant,Sam Altman,outer_ring,connected,0,"OpenAI CEO; connected through Musk/Fridman; never on JRE but in the orbit"
ben_shapiro,jordan_peterson|lex_fridman,Ben Shapiro,outer_ring,connected,1,"Conservative commentator; Jordan Peterson ally; political media crossover"
tim_ferriss,naval_ravikant|andrew_huberman,Tim Ferriss,outer_ring,connected,1,"4-Hour podcaster; shares guest network with Rogan; lifestyle optimization"
mark_normand,shane_gillis|tim_dillon|joey_diaz,Mark Normand,outer_ring,frequent_guest,4,"NYC stand-up; comedy store regular; part of Rogan's comedian inner circle"
